2025-08-25 15:15:17,Spartanburg - Fairforest Road,9 min
2025-08-25 15:15:17,Woodruff,52 min
2025-08-25 15:15:17,Belton,0 min
2025-08-25 15:15:17,Anderson,2 min
2025-08-25 15:15:17,Spartanburg - Southport Road,12 min
2025-08-25 15:15:17,Seneca,4 min
2025-08-25 15:15:17,Laurens,30 min
2025-08-25 15:15:17,Gaffney,17 min
2025-08-25 15:15:17,Union,0 min
2025-08-25 15:15:17,Abbeville,11 min
2025-08-25 15:15:17,Greenwood,8 min
2025-08-25 15:15:17,Saluda,0 min
2025-08-25 15:15:17,Rock Hill,2 min
2025-08-25 15:20:19,Greenville - Saluda Dam,59 min
2025-08-25 15:20:19,Greenville - Edgeworth,63 min
2025-08-25 15:20:19,Pickens,29 min
2025-08-25 15:20:19,Greer,36 min
2025-08-25 15:20:19,Fountain Inn,9 min
2025-08-25 15:20:19,Spartanburg - Fairforest Road,14 min
2025-08-25 15:20:19,Woodruff,42 min
2025-08-25 15:20:19,Belton,2 min
2025-08-25 15:20:19,Anderson,1 min
2025-08-25 15:20:19,Spartanburg - Southport Road,10 min
2025-08-25 15:20:19,Seneca,8 min
2025-08-25 15:20:19,Laurens,21 min
2025-08-25 15:20:19,Gaffney,20 min
2025-08-25 15:20:19,Union,1 min
2025-08-25 15:20:19,Abbeville,6 min
2025-08-25 15:20:19,Greenwood,12 min
2025-08-25 15:20:19,Saluda,0 min
2025-08-25 15:20:19,Rock Hill,3 min
2025-08-25 15:25:10,Greenville - Saluda Dam,61 min
2025-08-25 15:25:10,Greenville - Edgeworth,60 min
2025-08-25 15:25:10,Pickens,29 min
2025-08-25 15:25:10,Greer,36 min
2025-08-25 15:25:10,Fountain Inn,5 min
2025-08-25 15:25:10,Spartanburg - Fairforest Road,15 min
2025-08-25 15:25:10,Woodruff,43 min
2025-08-25 15:25:10,Belton,1 min
2025-08-25 15:25:10,Anderson,5 min
2025-08-25 15:25:10,Spartanburg - Southport Road,13 min
2025-08-25 15:25:10,Seneca,7 min
2025-08-25 15:25:10,Laurens,25 min
2025-08-25 15:25:10,Gaffney,22 min
2025-08-25 15:25:10,Union,6 min
